group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected
118,1,-1.635073777,-0.093675823,0.580091187,-2.061326089,-1.608178935,-0.064326233,FALSE
118,2,-1.636684635,-0.156412763,0.731993945,-2.154171503,-1.607827886,-0.065936456,FALSE
118,3,-1.638315584,-0.206467425,0.855762696,-2.229944919,-1.607625116,-0.067567139,FALSE
118,4,-1.640165417,-0.249561857,0.967609345,-2.303038496,-1.607060355,-0.069413919,FALSE
118,5,-1.642042963,-0.286741231,1.066440371,-2.367417441,-1.606657104,-0.071289084,FALSE
118,6,-1.644190156,-0.319841249,1.159377669,-2.431639102,-1.605825152,-0.073429955,FALSE
118,7,-1.646329505,-0.349222448,1.244093948,-2.489634408,-1.605280841,-0.075564944,FALSE
118,8,-1.648915367,-0.37555538,1.326527377,-2.550971715,-1.60396096,-0.078138274,FALSE
118,9,-1.651332928,-0.399168545,1.401813891,-2.60496809,-1.603347973,-0.080549881,FALSE
118,10,-1.650989001,-0.41955532,1.475940356,-2.664732335,-1.609114745,-0.080207747,FALSE
118,11,-1.646648315,-0.437090641,1.544000739,-2.719414419,-1.623403694,-0.075900414,FALSE
118,12,-1.647042165,-0.452831135,1.610630035,-2.774171872,-1.627309338,-0.076307063,FALSE
118,13,-1.651385009,-0.46670065,1.675984507,-2.8294954,-1.6232875,-0.080628183,FALSE
118,14,-1.65784812,-0.478042581,1.740407188,-2.887422402,-1.615656624,-0.08703407,FALSE
118,15,-1.660938502,-0.485800817,1.802433161,-2.947777704,-1.615213006,-0.090092013,FALSE
118,16,-1.662543538,-0.4912146,1.845988742,-2.987381927,-1.616504012,-0.091695541,FALSE
118,17,-1.709242577,-0.498084698,1.921854612,-3.062813319,-1.602924622,-0.138243744,FALSE
118,18,-1.712226072,-0.49424618,1.867061081,-3.008663626,-1.588902021,-0.141184728,FALSE
118,19,-1.706642386,-0.489225787,1.806562049,-2.946986796,-1.590675395,-0.13566611,FALSE
118,20,-1.701001781,-0.480865107,1.744749607,-2.888562484,-1.593246043,-0.130075725,FALSE
118,21,-1.695526399,-0.470189618,1.6801797,-2.82878017,-1.596188966,-0.124650876,FALSE
118,22,-1.690778034,-0.456634986,1.614415826,-2.771992938,-1.598300572,-0.119935939,FALSE
118,23,-1.686306132,-0.440723673,1.545376463,-2.713339079,-1.600413229,-0.115496457,FALSE
118,24,-1.682480818,-0.422041127,1.475747333,-2.65931227,-1.601654817,-0.111687422,FALSE
118,25,-1.678695767,-0.401067975,1.400947465,-2.600150963,-1.603284679,-0.107924455,FALSE
118,26,-1.675482689,-0.377342826,1.325442315,-2.546002941,-1.604050699,-0.104719409,FALSE
118,27,-1.672235861,-0.350847614,1.242853026,-2.484712587,-1.605300587,-0.101486962,FALSE
118,28,-1.669460842,-0.321371426,1.158717586,-2.428083665,-1.605794436,-0.09871573,FALSE
118,29,-1.666641961,-0.288012865,1.064517144,-2.361997161,-1.606746759,-0.095905645,FALSE
118,30,-1.66419297,-0.250783145,0.966352723,-2.299054086,-1.607094415,-0.093458252,FALSE
118,31,-1.664362166,-0.207668169,0.853787103,-2.224110943,-1.600831795,-0.093610974,FALSE
118,32,-1.664807196,-0.158541974,0.733574006,-2.152321638,-1.593802219,-0.094038625,FALSE
118,33,-1.664524944,-0.098467975,0.590348981,-2.068650829,-1.588728941,-0.093746568,FALSE
118,34,-1.688278581,-0.122408102,0.643951322,-2.095874731,-1.587787822,-0.117502952,FALSE
118,35,-1.691135636,-0.179135952,0.781750687,-2.17914813,-1.587444257,-0.120359,FALSE
118,36,-1.694217464,-0.226650797,0.901642669,-2.255161005,-1.58686829,-0.123437584,FALSE
118,37,-1.697462278,-0.267201956,1.007255732,-2.323275965,-1.586259852,-0.126678111,FALSE
118,38,-1.700935529,-0.302937669,1.104080229,-2.387908014,-1.585486207,-0.130144416,FALSE
118,39,-1.70463038,-0.334606109,1.193374068,-2.448826091,-1.584606817,-0.133830711,FALSE
118,40,-1.708566842,-0.362987168,1.277153935,-2.507646028,-1.583615991,-0.137756037,FALSE
118,41,-1.712833294,-0.388368681,1.356590243,-2.565438484,-1.582354501,-0.142007438,FALSE
118,42,-1.717351291,-0.411111521,1.431998945,-2.621708447,-1.58106099,-0.146507964,FALSE
118,43,-1.722411909,-0.431148924,1.504922932,-2.679147674,-1.579145977,-0.151541922,FALSE
118,44,-1.727582412,-0.448964833,1.574020526,-2.733960436,-1.577631071,-0.156688047,FALSE
118,45,-1.733736935,-0.463780381,1.642393238,-2.79327051,-1.574734132,-0.162796395,FALSE
118,46,-1.739651486,-0.476889137,1.70639736,-2.847402242,-1.573087993,-0.168678864,FALSE
118,47,-1.741548538,-0.486484864,1.769533421,-2.90763957,-1.579883108,-0.170534454,FALSE
118,48,-1.742943675,-0.493195446,1.830700334,-2.969246836,-1.58783985,-0.171892533,FALSE
118,49,-1.75047052,-0.498009462,1.889136225,-3.026665009,-1.584943058,-0.179356815,FALSE
118,50,-1.756299903,-0.502079505,1.92526438,-3.056812502,-1.58223513,-0.185185604,FALSE
118,51,-1.804349663,-0.50363566,1.926522507,-3.052159934,-1.559531284,-0.233150977,FALSE
118,52,-1.795036232,-0.497410442,1.872839551,-3.007300901,-1.561977928,-0.223821356,FALSE
118,53,-1.785197001,-0.492872464,1.811831039,-2.944386613,-1.566632663,-0.214086621,FALSE
118,54,-1.776661283,-0.484764699,1.749858195,-2.885442213,-1.56996299,-0.205622103,FALSE
118,55,-1.76843866,-0.474443658,1.684626201,-2.823893079,-1.573728602,-0.197474521,FALSE
118,56,-1.761720514,-0.460469697,1.620449044,-2.771115304,-1.575385746,-0.190785249,FALSE
118,57,-1.758218887,-0.444861306,1.55142645,-2.711026461,-1.571034928,-0.187321593,FALSE
118,58,-1.759625397,-0.426032508,1.483896436,-2.659115474,-1.556346058,-0.188750683,FALSE
118,59,-1.755201209,-0.405196742,1.409443341,-2.599905589,-1.554623847,-0.184363035,FALSE
118,60,-1.749918157,-0.381559193,1.334410541,-2.546493522,-1.555428104,-0.179089265,FALSE
118,61,-1.744523801,-0.355277037,1.252466853,-2.486076541,-1.557158975,-0.173711794,FALSE
118,62,-1.739854801,-0.326010662,1.168757169,-2.429740739,-1.557783058,-0.169048396,FALSE
118,63,-1.735144212,-0.293088621,1.076127683,-2.365679697,-1.559094926,-0.164347569,FALSE
118,64,-1.730985947,-0.256326204,0.979038069,-2.30354848,-1.559570765,-0.160192371,FALSE
118,65,-1.726809184,-0.21364715,0.867861893,-2.230567545,-1.560614151,-0.156020726,FALSE
118,66,-1.723099586,-0.164508176,0.746513916,-2.156837913,-1.560916755,-0.152312095,FALSE
118,67,-1.719514669,-0.104094242,0.600824241,-2.069328275,-1.561337455,-0.148727958,FALSE
118,68,-1.742611844,-0.114853642,0.625749551,-2.081964757,-1.561568068,-0.171826305,FALSE
118,69,-1.746798801,-0.173268064,0.767600429,-2.168098006,-1.56099484,-0.176012742,FALSE
118,70,-1.751168014,-0.221306971,0.887497129,-2.24238,-1.560463708,-0.180380386,FALSE
118,71,-1.755865167,-0.262601448,0.994716049,-2.311468996,-1.55963482,-0.185073931,FALSE
118,72,-1.760798351,-0.29880606,1.091890634,-2.375404026,-1.558799555,-0.190001806,FALSE
118,73,-1.76606813,-0.330941684,1.181876104,-2.436374365,-1.557756287,-0.1952641,FALSE
118,74,-1.771619794,-0.359726428,1.265923929,-2.494629967,-1.55669827,-0.200806332,FALSE
118,75,-1.777614727,-0.38550852,1.34573352,-2.552123601,-1.555303709,-0.206787757,FALSE
118,76,-1.783925619,-0.408637429,1.421324698,-2.607799024,-1.55394264,-0.213083067,FALSE
118,77,-1.790863421,-0.429094414,1.494351798,-2.664462541,-1.5519917,-0.219997103,FALSE
118,78,-1.798072028,-0.447271506,1.563768381,-2.719072025,-1.550327651,-0.227181681,FALSE
118,79,-1.806307781,-0.462531509,1.632157554,-2.777442173,-1.547433227,-0.235374397,FALSE
118,80,-1.81453518,-0.475967788,1.696571074,-2.831684264,-1.54558323,-0.243568045,FALSE
118,81,-1.824362098,-0.485720658,1.761239913,-2.892962914,-1.541640792,-0.253323308,FALSE
118,82,-1.83396311,-0.494036855,1.821790802,-2.948697998,-1.539351832,-0.262872187,FALSE
118,83,-1.840955894,-0.49888171,1.881495006,-3.009852771,-1.54291939,-0.269742495,FALSE
118,84,-1.840378573,-0.503568921,1.925220253,-3.050481572,-1.557433499,-0.269121495,FALSE
118,85,-1.888981842,-0.503521547,1.918975748,-3.035406264,-1.532711147,-0.317862299,FALSE
118,86,-1.877582613,-0.496399338,1.86643655,-2.994171166,-1.533836418,-0.306396875,FALSE
118,87,-1.865112106,-0.491497735,1.806065701,-2.93324689,-1.538470395,-0.29401661,FALSE
118,88,-1.854015939,-0.483321702,1.74403719,-2.874331841,-1.541951904,-0.282992984,FALSE
118,89,-1.843698319,-0.47249493,1.680039382,-2.816189847,-1.545232228,-0.272734715,FALSE
118,90,-1.834330783,-0.458876772,1.614577329,-2.760290377,-1.547807831,-0.26340857,FALSE
118,91,-1.825516333,-0.442854838,1.54617231,-2.703270222,-1.550357251,-0.254633216,FALSE
118,92,-1.817566132,-0.424192615,1.476558395,-2.649325514,-1.55208885,-0.246704785,FALSE
118,93,-1.809877584,-0.403180846,1.402357038,-2.591534157,-1.554213059,-0.239042912,FALSE
118,94,-1.803029628,-0.379480657,1.327048276,-2.537751653,-1.555328601,-0.232205843,FALSE
118,95,-1.796293474,-0.35304203,1.245348177,-2.478147424,-1.557026842,-0.225486382,FALSE
118,96,-1.790264056,-0.323646405,1.161420321,-2.421728763,-1.557823761,-0.219462812,FALSE
118,97,-1.784308774,-0.290535837,1.06865438,-2.357888185,-1.559182639,-0.213517005,FALSE
118,98,-1.778918438,-0.253492574,0.97082336,-2.295081595,-1.559822481,-0.208129844,FALSE
118,99,-1.773655292,-0.210665348,0.860100656,-2.223466001,-1.560795075,-0.202870156,FALSE
